Day of Month,Date,Site ID,Page Views,Unique Visitors,Total Time Spent,Visits,Average Time Spent on Site
1,2021-01-01,site 1,6,4,11,4,0.1
2,2021-01-02,site 1,4,2,14,2,0.1
3,2021-01-03,site 1,4,2,13,2,0.1
4,2021-01-04,site 1,10,7,268,7,1.5
5,2021-01-05,site 1,7,5,12,5,0.1
6,2021-01-06,site 1,6,4,13,4,0.1
7,2021-01-07,site 1,5,3,12,3,0.1
8,2021-01-08,site 1,6,4,14,4,0.1
9,2021-01-09,site 1,9,7,13,7,0.1
10,2021-01-10,site 1,10,5,189,5,1.1
11,2021-01-11,site 1,8,6,13,6,0.1
12,2021-01-12,site 1,8,6,14,6,0.1
13,2021-01-13,site 1,5,3,12,3,0.1
14,2021-01-14,site 1,8,5,986,5,5.5
15,2021-01-15,site 1,9,4,596,4,3.3
16,2021-01-16,site 1,6,2,21,2,0.2
17,2021-01-17,site 1,7,3,22,3,0.2
18,2021-01-18,site 1,11,4,194,4,0.8
19,2021-01-19,site 1,9,5,27,5,0.2
20,2021-01-20,site 1,28,19,107,19,0.6
21,2021-01-21,site 1,33,9,1113,9,6.2
22,2021-01-22,site 1,46,16,4783,18,13.3
23,2021-01-23,site 1,34,9,6767,12,22.6
24,2021-01-24,site 1,26,14,3767,14,15.7
25,2021-01-25,site 1,34,7,2515,8,8.4
26,2021-01-26,site 1,53,17,7670,20,14.2
27,2021-01-27,site 1,46,20,1803,24,3.3
28,2021-01-28,site 1,18,8,1881,8,10.4
29,2021-01-29,site 1,24,10,1332,10,3.7
30,2021-01-30,site 1,25,12,4829,13,11.5
31,2021-01-31,site 1,44,15,5695,19,11.9
1,2021-01-01,site 2,4,2,5,2,0.0
2,2021-01-02,site 2,5,3,6,3,0.1
3,2021-01-03,site 2,5,3,4,3,0.0
4,2021-01-04,site 2,5,3,6,3,0.1
5,2021-01-05,site 2,5,3,6,3,0.1
6,2021-01-06,site 2,4,2,6,2,0.1
7,2021-01-07,site 2,4,2,8,2,0.1
8,2021-01-08,site 2,4,2,7,2,0.1
9,2021-01-09,site 2,4,2,4,2,0.0
10,2021-01-10,site 2,7,5,6,5,0.1
11,2021-01-11,site 2,5,3,7,3,0.1
12,2021-01-12,site 2,5,3,7,3,0.1
13,2021-01-13,site 2,5,3,6,3,0.1
14,2021-01-14,site 2,18,6,646,6,3.6
15,2021-01-15,site 2,6,2,11,2,0.1
16,2021-01-16,site 2,6,2,9,2,0.1
17,2021-01-17,site 2,10,5,13,5,0.1
18,2021-01-18,site 2,15,7,818,7,4.5
19,2021-01-19,site 2,9,3,268,3,1.5
20,2021-01-20,site 2,8,4,10,4,0.1
21,2021-01-21,site 2,97,6,7746,6,21.5
22,2021-01-22,site 2,9,3,51,3,0.3
23,2021-01-23,site 2,8,3,27,3,0.1
24,2021-01-24,site 2,10,4,33,4,0.2
25,2021-01-25,site 2,18,5,1088,7,3.6
26,2021-01-26,site 2,24,4,771,4,4.3
27,2021-01-27,site 2,7,3,8,3,0.1
28,2021-01-28,site 2,13,5,205,5,1.1
29,2021-01-29,site 2,9,5,13,5,0.1
30,2021-01-30,site 2,6,2,10,2,0.1
31,2021-01-31,site 2,16,7,224,8,1.2
1,2021-01-01,site 3,4,2,8,2,0.1
2,2021-01-02,site 3,4,2,8,2,0.1
3,2021-01-03,site 3,51,49,8,49,0.1
4,2021-01-04,site 3,74,72,10,72,0.1
5,2021-01-05,site 3,4,2,10,2,0.1
6,2021-01-06,site 3,7,5,10,5,0.1
7,2021-01-07,site 3,4,2,10,2,0.1
8,2021-01-08,site 3,9,7,9,7,0.1
9,2021-01-09,site 3,5,3,9,3,0.1
10,2021-01-10,site 3,4,2,11,2,0.1
11,2021-01-11,site 3,4,2,18,2,0.1
12,2021-01-12,site 3,4,2,10,2,0.1
13,2021-01-13,site 3,4,2,9,2,0.1
14,2021-01-14,site 3,10,5,18,5,0.1
15,2021-01-15,site 3,6,2,14,2,0.1
16,2021-01-16,site 3,9,5,18,5,0.1
17,2021-01-17,site 3,6,2,13,2,0.1
18,2021-01-18,site 3,7,3,15,3,0.1
19,2021-01-19,site 3,6,2,13,2,0.1
20,2021-01-20,site 3,6,2,17,2,0.1
21,2021-01-21,site 3,6,2,15,2,0.1
22,2021-01-22,site 3,9,5,15,5,0.1
23,2021-01-23,site 3,7,2,22,2,0.2
24,2021-01-24,site 3,10,6,13,6,0.1
25,2021-01-25,site 3,6,2,14,2,0.1
26,2021-01-26,site 3,6,2,16,2,0.1
27,2021-01-27,site 3,6,2,16,2,0.1
28,2021-01-28,site 3,6,2,13,2,0.1
29,2021-01-29,site 3,7,3,14,3,0.1
30,2021-01-30,site 3,9,5,16,5,0.1
31,2021-01-31,site 3,6,2,15,2,0.1
1,2021-01-01,site 4,97,74,757,81,0.8
2,2021-01-02,site 4,99,90,3075,92,3.9
3,2021-01-03,site 4,122,99,2528,104,1.4
4,2021-01-04,site 4,138,112,3849,115,1.9
5,2021-01-05,site 4,111,94,4390,97,2.8
6,2021-01-06,site 4,138,114,4240,119,1.9
7,2021-01-07,site 4,187,162,4508,170,1.7
8,2021-01-08,site 4,258,232,5786,241,2.9
9,2021-01-09,site 4,238,208,5336,214,1.7
10,2021-01-10,site 4,226,187,5686,192,2.2
11,2021-01-11,site 4,284,246,4541,253,1.3
12,2021-01-12,site 4,249,223,6527,225,2.2
13,2021-01-13,site 4,232,203,6871,211,2.4
14,2021-01-14,site 4,311,266,7707,270,2.0
15,2021-01-15,site 4,228,194,5421,201,1.9
16,2021-01-16,site 4,230,201,3640,213,1.4
17,2021-01-17,site 4,247,217,4442,224,1.6
18,2021-01-18,site 4,233,205,5107,210,2.0
19,2021-01-19,site 4,238,203,5273,216,2.0
20,2021-01-20,site 4,229,198,5378,206,2.2
21,2021-01-21,site 4,238,220,3922,223,1.4
22,2021-01-22,site 4,239,203,7773,213,3.3
23,2021-01-23,site 4,223,198,4270,202,1.9
24,2021-01-24,site 4,251,209,12328,219,5.1
25,2021-01-25,site 4,230,196,5389,209,2.2
26,2021-01-26,site 4,270,225,12890,240,4.1
27,2021-01-27,site 4,229,202,3812,207,2.3
28,2021-01-28,site 4,231,207,3822,212,1.7
29,2021-01-29,site 4,199,183,1750,183,0.9
30,2021-01-30,site 4,243,202,7683,208,2.6
31,2021-01-31,site 4,255,221,4046,224,1.5
